hospital,average_billing
Inc Manning,33363.73
Inc Marquez,41166.98
Inc Marsh,6233.5
Inc Marshall,24381.32
Inc Martin,30871.89
Inc Martinez,18564.24
Inc Mathis,33814.14
Inc Matthews,17909.0
Inc Mays,13268.82
Inc Mcbride,28939.52
Inc Mccann,11568.81
Inc Mccarthy,17533.3
Inc Mcconnell,29289.88
Inc Mccoy,9731.23
Inc Mccullough,28070.54
Inc Mcdaniel,28696.25
Inc Mcdonald,32769.7
Inc Mcgee,7185.03
Inc Mcintosh,33805.92
Inc Mcintyre,19629.47
Inc Mckee,30037.56
Inc Mclaughlin,28468.24
Inc Mcmillan,6204.07
Inc Mcneil,44186.66
Inc Meadows,48812.1
Inc Medina,24112.2
Inc Mejia,35856.54
Inc Melendez,3656.06
Inc Mendoza,17434.86
Inc Mercer,42510.69
Inc Meyer,24815.32
Inc Meyers,45132.96
Inc Michael,18492.02
Inc Miles,27726.88
Inc Miller,21230.44
Inc Mitchell,30195.98
Inc Monroe,37177.58
Inc Montgomery,16422.1
Inc Moody,35285.71
Inc Moon,47382.78
Inc Mooney,35199.96
Inc Moore,33329.31
Inc Mora,15905.93
Inc Morales,23514.01
Inc Moran,47886.3
Inc Morgan,34496.56
Inc Morris,15516.37
Inc Morrow,38161.04
Inc Morton,6041.47
Inc Moss,37577.61
Inc Moyer,13316.81
Inc Mueller,19658.83
Inc Mullen,37721.18
Inc Murphy,27951.78
Inc Myers,30444.69
Inc Nash,22831.44
Inc Navarro,31340.68
Inc Neal,45027.46
Inc Nelson,21976.64
Inc Newman,36101.37
Inc Newton,13798.33
Inc Nguyen,5640.11
Inc Nichols,28387.97
Inc Nielsen,15970.75
Inc Nolan,18792.21
Inc Norman,13270.51
Inc Norton,11833.41
Inc Novak,10389.48
Inc Nunez,31857.5
Inc Obrien,22335.41
Inc Ochoa,20768.48
Inc Oconnor,13690.81
Inc Oliver,23887.3
Inc Olson,26158.41
Inc Ortega,30266.89
Inc Ortiz,17425.71
Inc Owen,17243.94
Inc Owens,25395.23
Inc Pace,23805.29
Inc Pacheco,22682.33
Inc Padilla,35015.56
Inc Palmer,22748.01
Inc Park,27292.28
Inc Parker,10703.03
Inc Parks,3008.35
Inc Parsons,41850.35
Inc Patterson,29650.54
Inc Patton,28431.36
Inc Paul,15418.97
Inc Payne,38237.91
Inc Pearson,34208.7
Inc Peck,38969.09
Inc Perez,22995.06
Inc Perkins,41093.19
Inc Perry,21261.63
Inc Peters,38802.44
Inc Peterson,31332.69
Inc Phillips,29436.16
Inc Pierce,37830.69
Inc Pineda,33160.52
Inc Pittman,46186.99
Inc Poole,19941.6
Inc Pope,39029.46
Inc Porter,24615.64
Inc Potter,11965.94
Inc Potts,9357.22
Inc Powell,29997.23
Inc Powers,22284.59
Inc Price,30537.43
Inc Pruitt,33473.55
Inc Pugh,43480.55
Inc Ramirez,31138.16
Inc Ramos,39118.38
Inc Ramsey,22248.22
Inc Rangel,37367.89
Inc Rasmussen,33437.67
Inc Ray,16106.87
Inc Reed,36477.99
Inc Reid,34340.91
Inc Reyes,6007.29
Inc Rhodes,28604.66
Inc Richard,22821.81
Inc Richards,28114.49
Inc Riley,31602.05
Inc Rios,9546.63
Inc Rivas,37753.27
Inc Rivera,24619.33
Inc Roach,9857.86
Inc Robbins,10952.05
Inc Roberts,23145.71
Inc Robinson,27381.34
Inc Rodriguez,29399.95
Inc Rogers,19193.27
Inc Rojas,33188.74
Inc Romero,46199.7
Inc Rose,31261.81
Inc Ross,22375.22
Inc Rowland,9041.91
Inc Roy,22150.89
Inc Rubio,47449.32
Inc Ruiz,12411.13
Inc Russell,47657.59
Inc Russo,18418.52
Inc Salazar,5096.78
Inc Salinas,20280.57
Inc Sampson,17402.36
Inc Sanchez,16191.01
Inc Sanders,18724.81
Inc Sanford,18939.16
Inc Santana,17649.07
Inc Santos,12941.47
Inc Saunders,40227.47
Inc Sawyer,13958.87
Inc Schmidt,17721.95
Inc Schroeder,39866.96
Inc Scott,33932.15
Inc Serrano,43581.11
Inc Shah,8031.58
Inc Shannon,23526.07
Inc Shaw,8220.1
Inc Shelton,14442.9
Inc Sheppard,33610.7
Inc Shields,20408.62
Inc Short,40495.62
Inc Silva,12625.93
Inc Simmons,22188.7
Inc Simon,25960.54
Inc Simpson,24077.18
Inc Sims,45885.98
Inc Singh,35443.49
Inc Skinner,46814.01
Inc Smith,28546.22
Inc Soto,32668.99
Inc Spencer,32518.71
Inc Stafford,22906.75
Inc Stanley,25477.71
Inc Stanton,13475.43
Inc Stark,25097.38
Inc Steele,13901.81
Inc Stein,28742.36
Inc Stephens,7994.53
Inc Stevens,42013.49
Inc Stewart,21214.5
Inc Stokes,21024.64
Inc Stout,46075.11
Inc Sullivan,25665.08
Inc Summers,32559.05
Inc Sutton,45084.93
Inc Swanson,29889.79
Inc Tapia,16476.3
Inc Tate,22311.43
Inc Taylor,24156.23
Inc Thomas,21735.6
Inc Thompson,31590.02
Inc Thornton,17426.51
Inc Todd,30255.87
Inc Torres,42007.99
Inc Travis,19554.01
Inc Trevino,43033.84
Inc Trujillo,40282.46
Inc Turner,15580.02
Inc Tyler,40957.43
Inc Underwood,14754.52
Inc Valdez,41267.37
Inc Valenzuela,22617.41
Inc Vance,32871.9
Inc Vang,25910.19
Inc Vargas,10172.01
Inc Vasquez,35981.75
Inc Vaughn,9104.15
Inc Vazquez,40363.63
Inc Velasquez,45804.08
Inc Velez,27237.91
Inc Villanueva,11077.09
Inc Villegas,27759.19
Inc Vincent,18606.2
Inc Walker,32994.72
Inc Wallace,29617.53
Inc Walls,2898.95
Inc Walsh,44096.77
Inc Walton,24031.35
Inc Ward,9905.84
Inc Warner,8649.23
Inc Warren,37018.45
Inc Washington,4452.18
Inc Waters,24165.16
Inc Watkins,24183.03
Inc Watson,23523.97
Inc Watts,32394.31
Inc Weaver,21853.81
Inc Webb,35149.49
Inc Weber,47726.14
Inc Welch,27186.74
Inc West,23482.05
Inc White,28463.58
Inc Wiley,20426.93
Inc Wilkerson,6274.24
Inc Wilkins,39310.61
Inc Wilkinson,33266.21
Inc Williams,31162.5
Inc Williamson,39531.8
Inc Willis,26923.72
Inc Wilson,18952.42
Inc Wolfe,13133.46
Inc Wood,24906.17
Inc Woodard,24884.45
Inc Woods,23736.65
Inc Wright,19953.82
Inc Wu,32782.06
Inc Wyatt,16888.73
Inc Yang,29601.19
Inc Yates,21252.12
Inc Young,14639.4
Inc Yu,35006.19
Inc Zavala,33009.09
"Ingram Bailey And Little,",24117.23
"Ingram Beltran, And Poole",4797.97
"Ingram Gutierrez, And Holden",30069.85
"Ingram Howard And Huber,",9209.2
Ingram Inc,32571.6
"Ingram Lamb Villegas, And",22419.0
Ingram Ltd,2264.45
"Ingram Patel, And Stephens",43391.95
Ingram Plc,34700.16
Ingram Sons And,35763.15
"Ingram, Reed And Mason",10006.74
"Ingram, Sloan And Mooney",19101.78
Ingram-Benson,14654.74
Ingram-Chandler,40045.13
Ingram-Collins,35554.17
Ingram-Fields,30859.22
Ingram-Gregory,31941.41
Ingram-Hernandez,37155.25
Ingram-Jackson,30101.09
Ingram-Lloyd,21343.47
Ingram-Murphy,4755.96
Ingram-Richardson,48677.19
Ingram-Rosario,47518.18
Irwin Ltd,21031.48
Irwin Plc,46893.39
"Irwin, Cain And Scott",45547.82
Irwin-Howard,4424.23
Irwin-Johnson,14720.42
Irwin-Kaufman,15518.46
Irwin-Medina,20908.8
Irwin-Vaughn,25073.15
"Jackson Abbott, And Padilla",36907.46
"Jackson And Bradley Nelson,",7077.99
"Jackson And Carr, White",7978.94
"Jackson And Coleman, Fowler",38858.32
"Jackson And Davis Reid,",29552.59
"Jackson And Knight Armstrong,",11379.72
"Jackson And Lane, Dillon",20227.86
"Jackson And Nguyen House,",41235.93
"Jackson And Proctor Oneill,",37251.78
"Jackson And Rivera Morris,",26093.47
Jackson And Sons,26758.91
"Jackson And Walker, Torres",41456.71
"Jackson And Wilson, Harris",44798.21
"Jackson Banks, And Phillips",44237.67
"Jackson Barber, And Ramos",45097.94
"Jackson Brown Hess, And",45423.13
"Jackson Brown Hester, And",36362.05
"Jackson Butler, And Madden",40991.13
"Jackson Carr, Garcia And",16528.8
"Jackson Carrillo, And Sims",49864.7
"Jackson Chapman, And Foster",47060.88
"Jackson Clark, And May",39539.51
"Jackson Cochran, And Crosby",30722.98
"Jackson Collier And Delacruz,",644.37
"Jackson Collins Thomas, And",8816.81
"Jackson Contreras And Byrd,",16958.23
"Jackson Davis, And Cherry",38239.29
"Jackson Fleming, And Schroeder",46555.99
"Jackson Ford, And Curry",20887.61
"Jackson Gonzales, Giles And",32678.49
Jackson Group,22485.99
"Jackson Hammond And Garcia,",3290.15
"Jackson Harmon And Brewer,",47724.83
"Jackson Harris Lawrence, And",9090.61
"Jackson Hartman Brooks, And",38186.16
"Jackson Hernandez And Wang,",3215.55
Jackson Inc,32011.38
"Jackson Jackson Cooley, And",10683.23
"Jackson Kane And Diaz,",26560.6
"Jackson Kim, And Evans",42356.06
Jackson Llc,14888.02
"Jackson Long, And Perez",44367.11
Jackson Ltd,22384.65
"Jackson Matthews, Mcdonald And",19522.84
"Jackson Mccoy, And Beasley",34774.53
"Jackson Moore Fuller, And",46281.9
"Jackson Morgan, Oliver And",24841.66
"Jackson Nelson And Wall,",49571.5
"Jackson Obrien And Scott,",26932.49
"Jackson Parks, And Hickman",36047.17
Jackson Plc,23877.4
"Jackson Prince, Burton And",1447.7
"Jackson Ray And Garcia,",44303.4
"Jackson Roberts, And Randolph",32015.0
"Jackson Robinson And Walsh,",29249.67
"Jackson Simmons, And Barnes",6050.2
Jackson Sons And,12650.98
"Jackson Stewart, Ramos And",33945.91
"Jackson Swanson, And Lopez",18433.19
"Jackson Thompson, And Beck",47364.07
"Jackson Todd And Castro,",32451.09
"Jackson Williams And Johnson,",18751.66
"Jackson, And Anderson Lambert",26829.22
"Jackson, And Barr Moses",27267.03
"Jackson, And Brown Gould",28814.98
"Jackson, And Burns Russell",21318.67
"Jackson, And Carroll Martin",40221.3
"Jackson, And Dorsey Simpson",38611.0
"Jackson, And Fitzgerald Johnson",42589.75
"Jackson, And Lee Bauer",8635.69
"Jackson, And Martin Wright",41267.74
"Jackson, And Mitchell Kemp",29623.46
"Jackson, And Mitchell Moyer",21850.05
"Jackson, And Rose Osborne",35178.81
"Jackson, And Washington Thompson",25472.39
"Jackson, Anderson And Olsen",13910.55
"Jackson, Brock And White",49352.88
"Jackson, Bryant Gallagher And",45801.89
"Jackson, Byrd Wilkerson And",43281.6
"Jackson, Campos Best And",39347.88
"Jackson, Carr And Andrews",28895.74
"Jackson, Craig Johnson And",44587.02
"Jackson, Davis And Johnson",34460.47
"Jackson, Foley And Klein",12852.67
"Jackson, Fowler And Hunt",13240.6
"Jackson, Griffith And Conner",15819.88
"Jackson, Hansen And Greene",1633.26
"Jackson, Harris Vance And",44650.16
"Jackson, Johnson And Gilmore",18307.62
"Jackson, Mccoy Nixon And",13397.78
"Jackson, Meyers And Simpson",21462.86
"Jackson, Morrow And Lewis",14948.89
"Jackson, Newman Adams And",11051.6
"Jackson, Phillips And Dennis",39979.24
"Jackson, Scott And Gonzalez",15506.95
"Jackson, Smith And Green",45404.57
"Jackson, Tate Ayers And",6306.65
Jackson-Acevedo,40491.19
Jackson-Alvarado,6872.7
Jackson-Andersen,31185.98
Jackson-Bell,37524.56
Jackson-Brennan,15102.96
Jackson-Brown,27514.54
Jackson-Burgess,27208.24
Jackson-Burnett,48561.31
Jackson-Burns,11003.17
Jackson-Butler,38779.21
Jackson-Campbell,35470.07
Jackson-Carter,15392.22
Jackson-Collins,8528.0
Jackson-Cooley,29896.72
Jackson-Copeland,4532.48
Jackson-Curry,15709.72
Jackson-Davis,12254.42
Jackson-Evans,39424.94
Jackson-Fowler,10235.91
Jackson-Fuller,13250.48
Jackson-Garcia,46286.89
Jackson-Garner,25366.16
Jackson-Gates,9322.81
Jackson-Gonzalez,33661.78
Jackson-Green,14533.53
Jackson-Guerrero,45000.94
Jackson-Hall,30359.48
Jackson-Hamilton,23682.4
Jackson-Hernandez,20695.77
Jackson-Hoffman,40363.66
Jackson-Hughes,20463.93
Jackson-Hurley,20791.7
Jackson-Jacobs,29463.12
Jackson-Jenkins,22900.76
Jackson-Johnson,22752.59
Jackson-Jordan,41984.4
Jackson-Kelley,36283.47
Jackson-Kennedy,3804.7
Jackson-Kim,42696.06
Jackson-King,35641.17
Jackson-Leonard,2257.09
Jackson-Little,45569.2
Jackson-Martinez,35072.76
Jackson-Mckinney,15165.13
Jackson-Medina,35218.74
Jackson-Mendez,47021.5
Jackson-Meyer,33696.11
Jackson-Mitchell,26487.29
Jackson-Morgan,4647.07
Jackson-Morton,34965.19
Jackson-Nelson,4114.15
Jackson-Nguyen,33923.29
Jackson-Nichols,28340.3
Jackson-Nicholson,38937.51
Jackson-Oconnor,32480.6
Jackson-Orr,26871.0
Jackson-Page,26200.61
Jackson-Patterson,12590.41
Jackson-Phelps,26365.08
Jackson-Rivera,31221.49
Jackson-Robinson,7800.15
Jackson-Rogers,21709.1
Jackson-Ross,48190.69
Jackson-Roy,9806.49
Jackson-Shelton,18781.04
Jackson-Simpson,1339.9
Jackson-Smith,37931.66
Jackson-Stevens,34567.63
Jackson-Thomas,20454.03
Jackson-Thompson,46272.07
Jackson-Vargas,19895.58
Jackson-Vaughn,4168.61
Jackson-Wallace,47782.42
Jackson-Warner,21042.79
Jackson-Webb,12780.26
Jackson-White,11405.95
Jackson-Whitney,30077.2
Jackson-Wilcox,16988.05
Jackson-Williams,36851.6
Jackson-Williamson,36282.07
Jackson-Wilson,31520.95
"Jacobs And Barron, Medina",17101.83
"Jacobs And Carlson Hernandez,",43510.77
"Jacobs Cooper, And Ayers",32720.78
"Jacobs Johnson, And Brooks",17840.62
"Jacobs Johnson, And Powers",43490.19
Jacobs Ltd,26482.79
"Jacobs Myers, And Freeman",44920.94
"Jacobs Owens Smith, And",7656.64
"Jacobs Pacheco Cunningham, And",855.67
Jacobs Plc,3641.53
"Jacobs Porter, And Bailey",13015.53
"Jacobs Ramos, Jones And",48989.48
"Jacobs Smith And Holland,",8365.79
"Jacobs, Cook And Moore",30235.01
"Jacobs, Miller Juarez And",49479.35
Jacobs-Alexander,19318.86
Jacobs-Alvarez,39812.78
Jacobs-Benjamin,40312.75
Jacobs-Brooks,15627.39
Jacobs-Brown,4361.29
Jacobs-Dominguez,32467.68
Jacobs-Ford,9109.34
Jacobs-Hansen,49738.58
Jacobs-Howell,44442.61
Jacobs-Johnson,20838.83
Jacobs-Pena,15603.04
Jacobs-Schneider,40550.3
Jacobs-Smith,23130.71
Jacobs-Thompson,29125.44
Jacobs-Wheeler,43621.05
Jacobs-Zuniga,8806.85
"Jacobson And Juarez, Galloway",9436.44
"Jacobson Butler, And Garcia",35333.76
Jacobson Llc,17555.87
Jacobson Ltd,36113.53
Jacobson Plc,27078.47
"Jacobson Ruiz, Smith And",48904.5
"Jacobson, Williams And Rivera",36239.42
Jacobson-Butler,20421.13
Jacobson-Hall,32491.5
Jacobson-King,23110.84
Jacobson-Mercer,4103.55
Jacobson-Potter,4284.13
Jacobson-Salazar,15820.33
"James And Barajas, Espinoza",39545.26
"James And Gonzalez Woods,",4839.66
"James And Hernandez, Kennedy",26090.72
"James And Miller Cardenas,",47940.71
"James And Shepherd, Horton",44182.34
James And Sons,34724.6
"James And Vega, Gilbert",16271.49
"James Ayala, And Smith",47672.37
"James Campbell Avila, And",1786.11
"James Campbell Bauer, And",37382.6
"James Christian, Jones And",47822.88
"James Davis, Ball And",3032.24
James Group,26863.83
"James Harris And Morales,",42920.62
James Inc,21761.55
"James King And Daugherty,",28858.05
"James Klein Kramer, And",40003.51
James Llc,22106.07
James Ltd,18875.58
"James Martin Fischer, And",17279.57
James Plc,28413.58
"James Russell, And Burke",43094.0
"James Schneider, And Chambers",44715.95
"James Smith Moore, And",48922.61
James Sons And,38842.96
"James Stephens And Mosley,",30764.52
"James Turner, And Yu",14292.52
"James Vasquez Allen, And",8953.87
"James Watson, Ramirez And",8416.78
"James, And Erickson Nelson",14021.34
"James, And Guzman Long",29483.66
"James, And Ryan Leonard",13364.73
"James, And Warren Hernandez",37923.49
"James, Clarke Mcbride And",17967.81
"James, Gates Richardson And",15614.84
"James, Huber And Jenkins",11017.57
"James, Johnson Drake And",27801.1
"James, Mann And Ballard",22482.64
"James, Moore Hawkins And",3122.33
"James, Peterson Jackson And",36273.7
"James, Wilson Ferguson And",36170.6
James-Adkins,24781.74
James-Alvarez,26905.41
James-Andrews,2700.16
James-Barrett,6152.6
James-Booker,45431.62
James-Collins,41660.27
James-Cunningham,13647.49
James-Garcia,43770.22
James-Gray,20594.28
James-Harris,16397.7
James-Horne,12332.7
James-Hudson,3477.99
James-Lyons,41174.61
James-Martin,41485.5
James-Mcintyre,36715.05
James-Miller,16499.19
James-Mills,29600.58
James-Ortiz,20804.27
James-Owen,39766.97
James-Parker,39316.46
James-Robinson,45859.21
James-Russell,46091.51
James-Salazar,7354.29
James-Schmidt,9277.63
James-Sharp,30176.41
James-Simon,4005.7
James-Smith,41197.28
James-Thomas,8530.21
James-Wall,7362.13
James-Webb,29681.55
James-Whitaker,25359.42
Jarvis Group,33418.59
Jarvis Inc,21823.42
Jarvis Llc,17147.72
"Jarvis Scott, Fleming And",6175.87
Jarvis-Barton,3843.77
Jarvis-Burgess,34664.03
Jarvis-Craig,45218.74
Jarvis-Roberts,4415.75
Jarvis-Smith,17676.34
Jarvis-Thompson,43662.16
Jarvis-Wilson,20562.7
Jefferson Llc,26918.14
Jefferson Ltd,34133.86
"Jefferson Morales Gilbert, And",4443.27
Jefferson Plc,24933.68
"Jefferson Rice Cobb, And",9212.73
"Jefferson Stewart And Watkins,",28831.99
"Jefferson, Clarke And Hurley",16878.17
"Jefferson, David Jackson And",10013.41
Jefferson-Brandt,22839.1
Jefferson-Brooks,16621.17
Jefferson-Carlson,31590.72
Jefferson-Cohen,49967.62
Jefferson-Lee,32348.55
Jefferson-Thomas,17719.47
"Jenkins And Carson Adams,",33155.83
"Jenkins And Clements Lara,",12806.91
"Jenkins And Franklin, Lambert",10050.06
"Jenkins And Miles Kirby,",45714.86
"Jenkins And Smith, Garcia",31227.46
"Jenkins Andersen, Woods And",20088.57
"Jenkins Anderson, And Jones",16828.64
Jenkins Group,5894.89
Jenkins Inc,13064.35
"Jenkins James, Arnold And",10785.26
"Jenkins Johnson Strong, And",41516.43
"Jenkins Kirk And Roman,",30371.48
"Jenkins Lopez, And Thompson",23193.96
Jenkins Ltd,27987.7
"Jenkins Mccarty Pearson, And",46702.15
"Jenkins Perez, Miller And",20271.75
"Jenkins Peterson, And Lambert",1835.27
Jenkins Plc,5291.24
"Jenkins Shaw And Nelson,",22828.15
"Jenkins Snyder, Bennett And",9362.22
Jenkins Sons And,38084.1
"Jenkins, And Cisneros Fischer",16873.36
"Jenkins, Banks Ramsey And",50116.56
"Jenkins, Booker Hughes And",41314.32
"Jenkins, Brown Phillips And",40307.03
"Jenkins, Dunn Conrad And",13439.08
"Jenkins, Jenkins And Patterson",44693.69
"Jenkins, Lewis And Brown",22088.17
"Jenkins, Lopez And Atkinson",37977.53
"Jenkins, Mathews And Ho",15086.16
"Jenkins, Ramos Matthews And",42688.23
"Jenkins, Sanchez Patterson And",43438.67
"Jenkins, Stephens And Patton",61.44
"Jenkins, Thompson And Nguyen",28063.85
"Jenkins, Webb Chandler And",48368.19
"Jenkins, Wood Duncan And",36966.56
Jenkins-Adkins,1393.33
Jenkins-Allen,28139.26
Jenkins-Anderson,14114.69
Jenkins-Banks,44521.49
Jenkins-Bowers,29289.57
Jenkins-Chan,7551.16
Jenkins-Charles,23665.14
Jenkins-Fernandez,26680.49
Jenkins-Fields,6333.76
Jenkins-Foley,23914.68
Jenkins-Garcia,49865.61
Jenkins-Garner,35877.36
Jenkins-Gill,21288.06
Jenkins-Harmon,20308.68
Jenkins-Harris,21343.19
Jenkins-Jackson,2280.74
Jenkins-James,31813.98
Jenkins-Larson,40956.98
Jenkins-Martinez,28200.79
Jenkins-Mendoza,2914.72
Jenkins-Mills,46629.09
Jenkins-Nash,9476.84
Jenkins-Peterson,19393.5
Jenkins-Ray,20045.43
Jenkins-Robinson,16920.03
Jenkins-Rodriguez,48774.81
Jenkins-Rojas,32019.16
Jenkins-Russell,48768.52
Jenkins-Sanders,10940.39
Jenkins-Smith,14578.86
Jenkins-Thompson,46033.78
Jenkins-Vasquez,4729.45
Jenkins-Wall,51174.6
Jenkins-Walsh,43142.13
Jenkins-Watts,16836.57
Jenkins-Yates,20196.38
"Jennings Ali And King,",30688.58
"Jennings And Peterson Pace,",44896.79
"Jennings And Spence Wood,",14124.25
"Jennings And White Hudson,",949.48
"Jennings Banks And Hart,",33643.88
"Jennings Caldwell Christensen, And",31159.79
Jennings Group,19293.4
"Jennings Jensen And Waters,",38273.07
Jennings Llc,37154.44
Jennings Ltd,19804.72
"Jennings Murray And Davies,",23348.64
Jennings Plc,14764.87
Jennings Sons And,20455.47
"Jennings, And Andrews Long",47565.14
"Jennings, And Li Dominguez",31454.14
"Jennings, And Richardson Tapia",1896.94
"Jennings, Williams Shields And",13232.49
Jennings-Cole,24280.17
Jennings-Cordova,6257.5
Jennings-Elliott,46483.05
Jennings-Gates,43341.51
Jennings-Glass,49782.74
Jennings-Graham,41785.95
Jennings-Larson,9743.02
Jennings-Lee,13399.23
Jennings-Nguyen,18792.6
Jennings-Nichols,33067.32
Jennings-Peterson,21129.07
Jennings-Sims,42925.09
Jennings-Smith,27362.1
Jennings-Thompson,10521.02
Jennings-Wood,26033.29
"Jensen And Jackson, Greene",19204.92
"Jensen And Mcgee Olson,",15953.85
Jensen And Sons,30586.53
"Jensen Baker And Baker,",31963.91
"Jensen Bishop Wallace, And",27801.15
"Jensen Colon, And Nolan",23315.06
"Jensen Gross, Arias And",13355.1
Jensen Group,19581.16
Jensen Inc,11586.67
"Jensen Lawson And Diaz,",22577.96
Jensen Ltd,34843.34
Jensen Plc,25265.33
"Jensen, Estrada And Jones",49276.81
"Jensen, Mcguire And Brown",19142.59
"Jensen, Sanchez Foley And",37864.19
"Jensen, Thomas Porter And",46712.84
"Jensen, Walsh And Scott",18946.08
Jensen-Davis,6931.01
Jensen-Gilmore,39524.56
Jensen-Gray,29942.47
Jensen-Maldonado,31357.34
Jensen-Monroe,41321.31
Jensen-Moore,20739.69
Jensen-Palmer,19067.15
Jensen-Poole,33385.2
Jensen-Porter,34141.03
Jensen-Rose,9173.84
Jensen-Scott,1902.57
Jensen-Summers,13907.92
Jensen-Weber,39863.88
Jensen-Williams,7025.28
"Jimenez And Gross, Hogan",4931.31
"Jimenez And Johnson Daniels,",8726.25
"Jimenez And Le, Wilson",9119.6
"Jimenez And Ross Mason,",-820.16
"Jimenez Collins And Wilson,",25054.39
Jimenez Group,30058.12
"Jimenez Henry And Henderson,",9454.81
"Jimenez Humphrey And Evans,",23975.58
Jimenez Inc,34759.41
"Jimenez Logan Lee, And",28005.69
"Jimenez Patton And Ramirez,",38503.91
Jimenez Plc,24027.72
"Jimenez Roy, Johnson And",28345.26
"Jimenez Wade, And King",16552.9
"Jimenez Washington, Perkins And",15204.18
"Jimenez, Adams And Moore",24108.73
"Jimenez, And Miller Perry",36677.2
"Jimenez, And Soto Johnson",40714.63
"Jimenez, Bailey And Frederick",18007.13
"Jimenez, Bradley And Jacobs",18244.29
"Jimenez, Brennan Craig And",8903.71
"Jimenez, Green And Wright",38122.93
"Jimenez, Griffin Acevedo And",44252.22
"Jimenez, Le And Vargas",36752.43
Jimenez-Bautista,35792.3
Jimenez-Brown,12994.43
Jimenez-Diaz,18807.71
Jimenez-Dixon,5922.64
Jimenez-Hernandez,17549.98
Jimenez-Huff,1805.52
Jimenez-Johnson,31430.5
Jimenez-Jones,10561.39
Jimenez-Meyers,47332.89
Jimenez-Moreno,33900.85
Jimenez-Rhodes,41908.76
Jimenez-Richardson,45443.37
Jimenez-Shaw,11002.0
Jimenez-Smith,14387.82
Jimenez-Wagner,49163.02
Jimenez-Ward,31848.77
Jimenez-White,45807.73
Jimenez-Wilson,46251.38
"Johns Barton Cabrera, And",48407.28
Johns Ltd,25506.86
"Johns Potter, And Herrera",36229.7
"Johns, Hammond Vang And",15450.68
"Johns, Jennings Craig And",31245.13
"Johns, Lopez Perez And",33204.74
Johns-Evans,39674.24
Johns-Golden,22001.27
Johns-Gomez,19289.0
Johns-King,12786.04
Johns-Long,38047.78
Johns-Martin,17860.19
Johns-Myers,7915.86
Johns-Patel,37089.58
Johns-Soto,32618.74
Johns-Wyatt,33035.8
"Johnson Aguilar Hamilton, And",25894.01
"Johnson Allen Brown, And",20756.3
"Johnson And Bruce Nelson,",48436.28
"Johnson And Cantu Le,",44843.61
"Johnson And Carrillo, Thomas",28005.29
"Johnson And Cruz Gentry,",46404.82
"Johnson And Delacruz, Gonzalez",4711.63
"Johnson And Delgado, Bennett",44393.18
"Johnson And Dickerson Keller,",46411.21
"Johnson And Doyle, Collins",44206.13
"Johnson And Flores, Beck",21763.66
"Johnson And Ford, Henderson",4305.32
"Johnson And Garcia Ray,",19274.34
"Johnson And George Newman,",40547.66
"Johnson And Gill Watson,",7875.26
"Johnson And Gonzalez Patterson,",23609.0
"Johnson And Gonzalez Wright,",11384.65
"Johnson And Hale Durham,",13461.81
"Johnson And Harrell Parker,",35479.6
"Johnson And Hill, Brown",17314.44
"Johnson And Holt Young,",50410.05
"Johnson And Jackson Rogers,",6049.76
"Johnson And Jones Horne,",3333.16
"Johnson And Kim Lara,",35817.68
"Johnson And Lee Dunlap,",721.85
"Johnson And Lewis, Fuller",5002.64
"Johnson And Lopez Everett,",43844.11
"Johnson And Lyons Wood,",48728.49
"Johnson And Maldonado, Lee",6995.9
"Johnson And Miller Smith,",12777.82
"Johnson And Mitchell, Duncan",27533.52
"Johnson And Morrison, Wright",44466.08
"Johnson And Parks Grant,",32410.1
"Johnson And Rivera, Allen",30100.51
"Johnson And Roberts, Gutierrez",3960.12
"Johnson And Robles, Robinson",21516.31
"Johnson And Rodriguez Franco,",48245.4
"Johnson And Rogers, Rose",36639.55
"Johnson And Shannon Hamilton,",45792.95
"Johnson And Smith Padilla,",3779.24
Johnson And Sons,21270.37
"Johnson And Stevens, Fuller",25612.39
"Johnson And Thompson Little,",39793.32
"Johnson And Trevino Reyes,",27729.21
"Johnson And Tucker Perez,",5361.13
"Johnson And Wagner, Perry",39739.75
"Johnson And West Peterson,",28973.63
"Johnson And Wilkerson, Crane",17133.38
"Johnson And Wilson Hall,",9763.42
"Johnson And Wright Brady,",41602.82
"Johnson And Yoder Erickson,",48206.05
"Johnson Anderson And Anderson,",22514.88
"Johnson Anderson And Martin,",23437.87
"Johnson Armstrong And Howell,",19175.79
"Johnson Bailey, And Abbott",4624.5
"Johnson Baker, And Allison",15476.97
"Johnson Baldwin, And Brown",7102.48
"Johnson Beck Johnson, And",29367.94
"Johnson Berger, Espinoza And",44205.31
"Johnson Bishop, And Russell",23086.55
"Johnson Bridges, Hill And",3788.06
"Johnson Brooks And Wagner,",8264.1
"Johnson Brown, And Malone",29750.87
"Johnson Butler, Hahn And",47928.92
"Johnson Carter Stone, And",19702.78
"Johnson Castaneda Williams, And",37311.87
"Johnson Chapman, Miller And",45586.06
"Johnson Chavez And Wheeler,",5880.33
"Johnson Chavez, And Hall",41765.75
"Johnson Clarke, And Quinn",27653.65
"Johnson Dalton And Austin,",22508.39
"Johnson David Carpenter, And",5407.73
"Johnson Farrell, Stone And",39818.19
"Johnson Foster, And Houston",27783.1
"Johnson Foster, And Lopez",11248.56
"Johnson Fuller, And Francis",46362.96
"Johnson Garcia, And Anthony",44355.2
